library_id,title,authors,year,venue,arxiv_id,source_url,library_categories,research_tracks,source_origin,priority,notes,review_state
lib_c6a3bfab4fd1,ReARTeR: Retrieval-Augmented Reasoning with Trustworthy PRM,Sun et al.,2025,arXiv,2501.07861,https://arxiv.org/abs/2501.07861,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_30b948f2bb44,ReAgent: Reversible Multi-Agent Reasoning for MHQA,Wang et al.,2025,arXiv,2503.06951,https://arxiv.org/abs/2503.06951,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_211cd27304b5,RankCoT: Refining Knowledge for RAG via Ranking CoT,Wu et al.,2025,arXiv,2502.17888,https://arxiv.org/abs/2502.17888,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_b019be52faf6,RAG-Gym: Process Supervision for Search Agents,Xiong et al.,2025,arXiv,2502.13957,https://arxiv.org/abs/2502.13957,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_4ca56ae4eba8,R1-Searcher: Incentivizing Search via RL,Song et al.,2025,arXiv,2503.05592,https://arxiv.org/abs/2503.05592,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_466907284e9f,PAR-RAG: Credible Plan-Driven RAG for Multi-Hop QA,Zhang et al.,2025,arXiv,2504.16787,https://arxiv.org/abs/2504.16787,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_e6365b9f174b,Open Deep Search: Democratizing Search,Alzubi et al.,2025,arXiv,2503.20201,https://arxiv.org/abs/2503.20201,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_1284a56f0ddb,NovelHopQA: Diagnosing Multi-Hop in Long Narratives,Gupta et al.,2025,arXiv,,,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_f33a2f6ee28a,MA-RAG: Multi-Agent RAG via Collaborative CoT,Nguyen et al.,2025,arXiv,2505.20096,https://arxiv.org/abs/2505.20096,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_fa7fa8604699,KiRAG: Knowledge-Driven Iterative Retriever,Fang et al.,2025,arXiv,2502.18397,https://arxiv.org/abs/2502.18397,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_4611c8c75e18,HopRAG: Multi-Hop Reasoning for Logic-Aware RAG,Liu et al.,2025,arXiv,2502.12442,https://arxiv.org/abs/2502.12442,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_92591aa8c409,HLE: Humanity's Last Exam,Phan et al.,2025,arXiv,2501.14249,https://arxiv.org/abs/2501.14249,MH Benchmark,Benchmarks,总表 All Papers;新补,高,2025 新 baseline,imported
lib_1e8589cfff32,From RAG to Memory: HippoRAG 2,Gutierrez et al.,2025,arXiv,2502.14802,https://arxiv.org/abs/2502.14802,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,,imported
lib_85f43ba76500,DualRAG: Dual-Process Approach for Multi-Hop QA,Cheng et al.,2025,arXiv,2504.18243,https://arxiv.org/abs/2504.18243,MH: Retrieve-based,Retrieval,总表 All Papers;新补,高,2025 multi-hop RAG 新 SOTA,imported
lib_eaff4b74ecca,DocHop-QA: Multimodal Multi-Hop Reasoning,Park et al.,2025,arXiv,2508.15851,https://arxiv.org/abs/2508.15851,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_86fbf077b72b,DeepSeek-R1: Incentivizing Reasoning Capability via RL,DeepSeek AI,2025,arXiv,2501.12948,https://arxiv.org/abs/2501.12948,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_0d4fa24f1c17,DeepResearcher: Scaling Deep Research via RL,Zheng et al.,2025,arXiv,2504.03160,https://arxiv.org/abs/2504.03160,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_30e42644d948,DeepRAG: Thinking to Retrieval Step by Step,Guan et al.,2025,arXiv,2502.01142,https://arxiv.org/abs/2502.01142,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_bf57d9e73f65,CoT-RAG: Integrating Chain of Thought and RAG,Shi et al.,2025,arXiv,2504.13534,https://arxiv.org/abs/2504.13534,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_d841ace08afa,Beyond Correctness: Rewarding Faithful Reasoning in RAG (VERITAS),Xu et al.,2025,arXiv,2510.13272,https://arxiv.org/abs/2510.13272,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_a8b148c1a5ec,Agentic Retrieval-Augmented Generation: A Survey,Singh et al.,2025,arXiv,2501.09136,https://arxiv.org/abs/2501.09136,MH survey,Surveys,总表 All Papers;新补,高,agentic RAG 专题,imported
lib_eae77157c34b,Agentic Reasoning: Reasoning LLMs with Tools,Wu et al.,2025,ACL 2025,2502.04644,https://arxiv.org/abs/2502.04644,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_a387480fe229,A Survey of Task-Oriented KG Reasoning,Niu et al.,2025,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_705326ab806c,A Survey of Slow Thinking-based Reasoning LLMs using RL,Pan et al.,2025,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_4962bc7764b4,Tree of Reviews: Tree-based Dynamic Iterative Retrieval,Li et al.,2024,arXiv,2404.14464,https://arxiv.org/abs/2404.14464,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_030c1f7a4604,Training LLMs to Reason in a Continuous Latent Space (COCONUT),Hao et al.,2024,arXiv,2412.06769,https://arxiv.org/abs/2412.06769,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_cbf207b82c49,TRACE: Knowledge-Grounded Reasoning Chains for RAG,Fang et al.,2024,EMNLP 2024,2406.11460,https://arxiv.org/abs/2406.11460,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_615901f5a64d,Towards Multi-Document QA in Scientific Literature,Huang et al.,2024,arXiv,,,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_c6a9d3c352bb,Think-on-Graph 2.0: Deep and Faithful LLM Reasoning with KG,Ma et al.,2024,ICLR 2025,2407.10805,https://arxiv.org/abs/2407.10805,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,ToG 2.0,imported
lib_71beed976130,Think-on-Graph 2.0 (方法，误归类),Ma et al.,2024,ICLR 2025,2407.10805,https://arxiv.org/abs/2407.10805,MH Benchmark,Benchmarks,建议清理,-,应归 LLM+KG,needs_triage
lib_81eb95196c2c,The Landscape of Emerging AI Agent Architectures,Masterman et al.,2024,arXiv,2404.11584,https://arxiv.org/abs/2404.11584,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_7244f143709b,"Tell me, what are you most afraid of?",Stock et al.,2024,arXiv,,,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_72431ae5478d,Suppressing epidemic spreading in multiplex networks,Chen et al.,2024,Physics,,,MH: KG-based,Knowledge graphs,建议清理,-,物理学论文，误收藏，建议移出,needs_triage
lib_6d8e46d40ae1,SubgraphRAG: Simple is Effective,Li et al.,2024,ICLR 2025,2410.20724,https://arxiv.org/abs/2410.20724,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,ICLR 2025 强 baseline,imported
lib_7ef06a4986e2,StructRAG: Hybrid Information Structurization,Li et al.,2024,ICLR 2025,2410.08815,https://arxiv.org/abs/2410.08815,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,ICLR 2025,imported
lib_112c38579e2b,STOC-TOT: Stochastic Tree-of-Thought for Multi-Hop QA,Bi et al.,2024,arXiv,2407.03687,https://arxiv.org/abs/2407.03687,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_792806b2aa84,StepChain GraphRAG: Reasoning Over KGs for Multi-Hop QA,Ni et al.,2024,arXiv,,,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_65d99f56b607,RuleRAG: Rule-Guided Retrieval-Augmented Generation,Chen et al.,2024,arXiv,2410.22353,https://arxiv.org/abs/2410.22353,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,,imported
lib_d0926f5de407,"Retrieving, Rethinking and Revising: CoV for RAG",Sun et al.,2024,EMNLP 2024,2410.05801,https://arxiv.org/abs/2410.05801,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_f999f336327d,RAT: Retrieval Augmented Thoughts,Wang et al.,2024,arXiv,2403.05313,https://arxiv.org/abs/2403.05313,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_ce29f5c833e4,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,Sarthi et al.,2024,ICLR 2024,2401.18059,https://arxiv.org/abs/2401.18059,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_c2eb420ad4d0,RAG for AI-Generated Content: A Survey,Zhao et al.,2024,arXiv,2402.19473,https://arxiv.org/abs/2402.19473,MH survey,Surveys,总表 All Papers;新补,中,,imported
lib_5de74e21d4b6,Quiet-STaR: LMs Can Teach Themselves to Think Before Speaking,Zelikman et al.,2024,arXiv,2403.09629,https://arxiv.org/abs/2403.09629,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_e391fdfc0ae7,MultiHop-RAG: Benchmarking RAG for Multi-Hop Queries,Tang & Yang,2024,arXiv,2401.15391,https://arxiv.org/abs/2401.15391,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_be7cec2d383a,"Multi-Step Reasoning with LLMs, a Survey",Plaat et al.,2024,arXiv,2407.11511,https://arxiv.org/abs/2407.11511,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_b27f3d3a4fad,MoreHopQA: More Than Multi-hop Reasoning,Schnitzler et al.,2024,arXiv,2406.13397,https://arxiv.org/abs/2406.13397,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_da8d3bc8740b,MINTQA: Multi-Hop QA Benchmark,He et al.,2024,arXiv,2412.17032,https://arxiv.org/abs/2412.17032,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_0fc7b17baf6d,MindSearch: Mimicking Human Minds for Deep Search,Chen et al.,2024,arXiv,2407.20183,https://arxiv.org/abs/2407.20183,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_36bca049cce9,LongRAG: Enhancing RAG with Long-context LLMs,Jiang et al.,2024,arXiv,2406.15319,https://arxiv.org/abs/2406.15319,MH: Retrieve-based,Retrieval,总表 All Papers;新补,高,long-context × RAG,imported
lib_abebd0da35b5,LightRAG: Simple and Fast RAG,Guo et al.,2024,arXiv,2410.05779,https://arxiv.org/abs/2410.05779,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,必补，GraphRAG 轻量版,imported
lib_55e130758e0f,LightPROF: Lightweight Reasoning Framework for LLMs,Ao et al.,2024,arXiv,,,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_4df4fef30ec4,Leaked-Web: ML-Based Web Analysis,Wang,2024,arXiv,,,MH: KG-based,Knowledge graphs,建议清理,-,非 MHQA 方向，建议移出,needs_triage
lib_889db75bd630,KG-Hopper: Empowering Compact Open LLMs with KG,Wang & Yu,2024,arXiv,,,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_77472fa464f9,KAG: Knowledge Augmented Generation,Liang et al.,2024,WWW 2025,2409.13731,https://arxiv.org/abs/2409.13731,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,WWW 2025,imported
lib_5952bfcd9c7e,Human Cognition Inspired RAG with KG for Complex QA,Cheng et al.,2024,arXiv,,,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_32c8613d1493,HippoRAG: Neurobiologically Inspired Long-Term Memory,Gutierrez et al.,2024,NeurIPS 2024,2405.14831,https://arxiv.org/abs/2405.14831,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,必补，2024 高引,imported
lib_afbbd928d95f,Grounding LLM Reasoning with Knowledge Graphs,Amayuelas et al.,2024,arXiv,,,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_1faea20b4240,GraphRAG: From Local to Global (Microsoft),Edge et al.,2024,arXiv,2404.16130,https://arxiv.org/abs/2404.16130,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,必补，工业界高影响,imported
lib_3af06097463e,Graph-CoT: Augmenting LLMs by Reasoning on Graphs,Jin et al.,2024,ACL 2024,2404.07103,https://arxiv.org/abs/2404.07103,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_fb895369ca1a,Graph Retrieval-Augmented Generation: A Survey,Peng et al.,2024,arXiv,2408.08921,https://arxiv.org/abs/2408.08921,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_2e42f0c14006,GNN-RAG: Graph Neural Retrieval for LLM Reasoning,Mavromatis & Karypis,2024,arXiv,2405.20139,https://arxiv.org/abs/2405.20139,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_1f531748715d,GenDec: A robust generative Question-decomposition method,Wu et al.,2024,arXiv,2402.11166,https://arxiv.org/abs/2402.11166,MH: Decomposition,Decomposition,原有;总表 All Papers,-,,imported
lib_12fa7943c111,G-Retriever: RAG for Textual Graph Understanding,He et al.,2024,NeurIPS 2024,2402.07630,https://arxiv.org/abs/2402.07630,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,高,NeurIPS 2024,imported
lib_7e23d0bdeda7,"FRAMES: Fact, Retrieve, and Reason (Google)",Krishna et al.,2024,arXiv,2409.12941,https://arxiv.org/abs/2409.12941,MH Benchmark,Benchmarks,总表 All Papers;新补,高,2024 新基准,imported
lib_a5cc0ec1f1e3,FanOutQA: Multi-Hop Multi-Document Benchmark,Zhu et al.,2024,ACL 2024,2402.14116,https://arxiv.org/abs/2402.14116,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_07b15d5cb698,EfficientRAG: Efficient Retriever for Multi-Hop QA,Zhuang et al.,2024,EMNLP 2024,2408.04259,https://arxiv.org/abs/2408.04259,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_f8fa357059fb,Dual Reasoning: A GNN-LLM Collaborative Framework,Liu et al.,2024,arXiv,,,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_82310b88a23a,DRAGIN: Dynamic RAG based on Information Needs,Su et al.,2024,ACL 2024,2403.10081,https://arxiv.org/abs/2403.10081,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_6e133e30d3f4,Direct Evaluation of CoT in Multi-hop Reasoning with KGs,Nguyen et al.,2024,arXiv,2402.11199,https://arxiv.org/abs/2402.11199,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_5c928af79ed5,DALK: Dynamic Co-Augmentation of LLMs and KG,Li et al.,2024,Findings EMNLP 2024,2405.04819,https://arxiv.org/abs/2405.04819,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,医疗场景,imported
lib_cc142637818f,CofCA: Step-wise Counterfactual Multi-hop QA,Wu et al.,2024,arXiv,2402.11924,https://arxiv.org/abs/2402.11924,MH Benchmark,Benchmarks,总表 All Papers;新补,中,,imported
lib_f15fd5f5ded7,Chain of Agents: Collaborating on Long-Context Tasks,Zhang et al.,2024,NeurIPS 2024,2406.02818,https://arxiv.org/abs/2406.02818,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_8b2df94e6d96,BeamAggR: Beam Aggregation Reasoning for MHQA,Chu et al.,2024,ACL 2024,2404.12316,https://arxiv.org/abs/2404.12316,MH: Retrieve-based,Retrieval,总表 All Papers;新补,中,,imported
lib_e6dcce337876,Adaptive-RAG: Learning to Adapt Based on Question Complexity,Jeong et al.,2024,NAACL 2024,2403.14403,https://arxiv.org/abs/2403.14403,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,,imported
lib_57fd05e25580,A Survey on RAG meeting LLMs,Fan et al.,2024,arXiv,2405.06211,https://arxiv.org/abs/2405.06211,MH survey,Surveys,总表 All Papers;新补,中,,imported
lib_7b404b7ed3c5,A Survey on RAG for Text Generation for LLMs,Huang & Huang,2024,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_43402d545b13,A Survey on LLM Inference-Time Self-Improvement,Dong et al.,2024,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_6371937b7ca8,A Comprehensive Survey on Multi-hop MRC Datasets,Mohammadi et al.,2024,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_000098e897fa,A Comprehensive Survey on Multi-hop MRC Approaches,Mohammadi et al.,2024,arXiv,,,MH survey,Surveys,原有;总表 All Papers,-,,imported
lib_4030afdd87e2,Voyager: Open-Ended Embodied Agent with LLMs,Wang et al.,2023,arXiv,2305.16291,https://arxiv.org/abs/2305.16291,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_aa537d29563d,Verify-and-Edit: Knowledge-Enhanced CoT Framework,Zhao et al.,2023,ACL 2023,2305.03268,https://arxiv.org/abs/2305.03268,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_4091e15e54bb,Tree of Thoughts: Deliberate Problem Solving,Yao et al.,2023,NeurIPS 2023,2305.10601,https://arxiv.org/abs/2305.10601,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_2b674ed01843,Toolformer: LMs Can Teach Themselves to Use Tools,Schick et al.,2023,NeurIPS 2023,2302.04761,https://arxiv.org/abs/2302.04761,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_f9a610946f68,Think-on-Graph: Deep and Responsible Reasoning (ToG),Sun et al.,2023,ICLR 2024,2307.07697,https://arxiv.org/abs/2307.07697,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,必读,imported
lib_bbdad8e906bd,Think-on-Graph (方法，误归类),Sun et al.,2023,ICLR 2024,2307.07697,https://arxiv.org/abs/2307.07697,MH Benchmark,Benchmarks,建议清理,-,应归 LLM+KG,needs_triage
lib_5e743af1eb18,Take a Step Back: Evoking Reasoning via Abstraction in LLMs,Zheng et al.,2023,ICLR 2024,2310.06117,https://arxiv.org/abs/2310.06117,MH: Decomposition,Decomposition,原有;总表 All Papers,-,,imported
lib_127ac87c4ba0,StructGPT: General Framework for LLM on Structured Data,Jiang et al.,2023,EMNLP 2023,2305.09645,https://arxiv.org/abs/2305.09645,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_3dbec57e5d2b,Skeleton-of-Thought: Prompting LLMs for Efficient Parallel Generation,Ning et al.,2023,ICLR 2024,2307.15337,https://arxiv.org/abs/2307.15337,MH: Decomposition,Decomposition,原有;总表 All Papers,-,,imported
lib_3e43427f8dfc,SelfCheckGPT: Zero-Resource Hallucination Detection,Manakul et al.,2023,EMNLP 2023,2303.08896,https://arxiv.org/abs/2303.08896,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_4199218b304e,Self-Refine: Iterative Refinement with Self-Feedback,Madaan et al.,2023,NeurIPS 2023,2303.17651,https://arxiv.org/abs/2303.17651,MH Agentic;MH Verify;MH: Agentic;MH: Verify,Agentic systems;Verification,MH Agentic;MH Verify;总表 All Papers,,,imported
lib_3126b4be1003,"Self-RAG: Retrieve, Generate, Critique through Self-Reflection",Asai et al.,2023,ICLR 2024,2310.11511,https://arxiv.org/abs/2310.11511,MH: Retrieve-based,Retrieval,原有;总表 All Papers,-,也算 Agentic,imported
lib_3ae57d894d98,Self-prompted CoT for Open-domain Multi-hop Reasoning (SP-CoT),Wang et al.,2023,Findings EMNLP 2023,2310.13552,https://arxiv.org/abs/2310.13552,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_ef8b41000363,Self-Contradictory Hallucinations of LLMs,Mündler et al.,2023,ICLR 2024,2305.15852,https://arxiv.org/abs/2305.15852,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_b4bc18104813,Retrieve-Rewrite-Answer: KG-to-Text Framework,Wu et al.,2023,arXiv,2309.11206,https://arxiv.org/abs/2309.11206,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,,imported
lib_0d6c09df5b7a,REPLUG: Retrieval-Augmented Black-Box LMs,Shi et al.,2023,NAACL 2024,2301.12652,https://arxiv.org/abs/2301.12652,MH: Retrieve-based,Retrieval,总表 All Papers;新补,中,,imported
lib_61cb013e344e,Reflexion: Language Agents with Verbal RL,Shinn et al.,2023,NeurIPS 2023,2303.11366,https://arxiv.org/abs/2303.11366,MH Agentic;MH Verify;MH: Agentic;MH: Verify,Agentic systems;Verification,MH Agentic;MH Verify;总表 All Papers,,,imported
lib_76d42c663b98,RECOMP: Compressing Retrieved Documents,Xu et al.,2023,ICLR 2024,2310.04408,https://arxiv.org/abs/2310.04408,MH: Retrieve-based,Retrieval,总表 All Papers;新补,中,,imported
lib_57dc058f11ee,Reasoning with LM is Planning with World Model (RAP),Hao et al.,2023,EMNLP 2023,2305.14992,https://arxiv.org/abs/2305.14992,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_228c1d6be78c,Reasoning on Graphs: Faithful and Interpretable LLM Reasoning (RoG),Luo et al.,2023,ICLR 2024,2310.01061,https://arxiv.org/abs/2310.01061,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,必读,imported
lib_a4d5a00d8777,Reasoning on Graphs (方法，误归类),Luo et al.,2023,ICLR 2024,2310.01061,https://arxiv.org/abs/2310.01061,MH Benchmark,Benchmarks,建议清理,-,应归 LLM+KG,needs_triage
lib_2f63bb9e4a2b,RAG for LLMs: A Survey,Gao et al.,2023,arXiv,2312.10997,https://arxiv.org/abs/2312.10997,MH survey,Surveys,原有;总表 All Papers,-,经典综述,imported
lib_119285187ab1,Plan-and-Solve Prompting,Wang et al.,2023,ACL 2023,2305.04091,https://arxiv.org/abs/2305.04091,MH: Decomposition,Decomposition,原有;总表 All Papers,-,,imported
lib_6ab4bce27703,OpenAgents: Open Platform for Language Agents,Xie et al.,2023,arXiv,2310.10634,https://arxiv.org/abs/2310.10634,MH Agentic;MH: Agentic,Agentic systems,MH Agentic;总表 All Papers,,,imported
lib_9d0e6928f776,MindMap: KG Prompting Sparks Graph of Thoughts,Wen et al.,2023,ACL 2024,2308.09729,https://arxiv.org/abs/2308.09729,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_9300604d221b,Making RALMs Robust to Irrelevant Context,Yoran et al.,2023,ICLR 2024,2310.01558,https://arxiv.org/abs/2310.01558,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_b6c1a897bb7f,Let's Verify Step by Step,Lightman et al.,2023,ICLR 2024,2305.20050,https://arxiv.org/abs/2305.20050,MH Verify;MH: Verify,Verification,MH Verify;总表 All Papers,,,imported
lib_0fc3ce2ec0d3,Language Agent Tree Search (LATS),Zhou et al.,2023,ICML 2024,2310.04406,https://arxiv.org/abs/2310.04406,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_03b024ec7b3a,KnowledgeNavigator: Enhanced Reasoning over KG,Katz et al.,2023,arXiv,2312.15880,https://arxiv.org/abs/2312.15880,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,,imported
lib_efe1ff1ccdf8,Knowledge-Driven CoT (KD-CoT),Wang et al.,2023,arXiv,2308.13259,https://arxiv.org/abs/2308.13259,MH CoT;MH: CoT,Reasoning / CoT,MH CoT;总表 All Papers,,,imported
lib_36895cf65790,Knowledge Solver: Teaching LLMs to Search for Domain Knowledge,Feng et al.,2023,arXiv,2309.03118,https://arxiv.org/abs/2309.03118,MH: LLM+KG,Knowledge graphs,原有;总表 All Papers,-,,imported
lib_802b8716ef07,KG-GPT: General Framework for Reasoning on KGs,Kim et al.,2023,Findings EMNLP 2023,2310.11220,https://arxiv.org/abs/2310.11220,MH Benchmark,Benchmarks,原有;总表 All Papers,-,,imported
lib_effc8b773b76,KG Prompting for Multi-Document QA,Wang et al.,2023,AAAI 2024,2308.11730,https://arxiv.org/abs/2308.11730,MH: LLM+KG,Knowledge graphs,总表 All Papers;新补,中,,imported
lib_d7c62626a44a,Iter-RetGen: Iterative Retrieval-Generation,Shao et al.,2023,Findings EMNLP 2023,2305.15294,https://arxiv.org/abs/2305.15294,MH: Retrieve-based,Retrieval,总表 All Papers;新补,高,iterative RAG 代表,imported
