citation_key,title,year,venue,architectural_family,primary_estimand,secondary_estimands,evidence_source,pipeline_stage,tasks,datasets,source_url,code_url,status,notes
khattab2021baleen,Baleen: Robust Multi-Hop Reasoning at Scale via Condensed Retrieval,2021,NeurIPS,retrieval,observability,exposure;selection_preservation,text,end_to_end,multi-hop retrieval;claim verification,HotpotQA;HoVer,https://openreview.net/forum?id=Ghk0AJ8XtVx,https://github.com/stanford-futuredata/Baleen,reviewed,Condenses retrieved evidence between hops to control search and context growth.
fu2021rerc,Decomposing Complex Questions Makes Multi-Hop QA Easier and More Interpretable,2021,Findings EMNLP,decomposition,fusion,observability,text,end_to_end,multi-hop QA,2WikiMultiHopQA,https://aclanthology.org/2021.findings-emnlp.17/,,reviewed,Uses relation extraction reader and comparison stages to form a decomposed evidence path.
yao2023react,ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR,agentic,observability,fusion;faithfulness;joint,text,end_to_end,knowledge-intensive QA;interactive agents,HotpotQA;FEVER,https://arxiv.org/abs/2210.03629,https://github.com/ysymyth/ReAct,reviewed,Interleaves natural-language reasoning traces with environment actions such as Wikipedia lookup; primary target follows the earliest active retrieval event.
trivedi2023ircot,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,2023,ACL,llm_reasoning,observability,selection_preservation;fusion,text,end_to_end,knowledge-intensive multi-step QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2023.acl-long.557/,https://github.com/StonyBrookNLP/ircot,reviewed,Interleaves generated reasoning with retrieval.
jiang2023flare,Active Retrieval Augmented Generation,2023,EMNLP,agentic,observability,selection_preservation,text,retrieve,knowledge-intensive generation,ASQA;ELI5;StrategyQA,https://arxiv.org/abs/2305.06983,https://github.com/jzbjyb/FLARE,needs_review,Retrieval is triggered by generation uncertainty; verify the precise multi-hop scope before using it for a focused comparison.
asai2023selfrag,Self-RAG: Learning to Retrieve Generate and Critique through Self-Reflection,2024,ICLR,agentic,observability,selection_preservation;faithfulness;joint,text,end_to_end,open-domain QA;fact verification,PopQA;Arc Challenge;PubHealth,https://arxiv.org/abs/2310.11511,https://github.com/AkariAsai/self-rag,reviewed,Joint retrieval generation and critique policy; primary target follows the earliest active retrieval event.
sarthi2024raptor,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,2024,ICLR,retrieval,exposure,observability;fusion,text,order,long-context QA;open-domain QA,QuALITY;QASPER;NarrativeQA,https://arxiv.org/abs/2401.18059,https://github.com/parthsarthi03/raptor,reviewed,Changes retrieval granularity and context organization.
yan2024crag,Corrective Retrieval Augmented Generation,2024,arXiv,agentic,selection_preservation,observability;exposure,text,verify,knowledge-intensive generation,PopQA;Biography;PubHealth,https://arxiv.org/abs/2401.15884,,reviewed,Evaluates retrieved context and may trigger web search plus decomposition and recomposition.
jeong2024adaptiverag,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,2024,arXiv,agentic,observability,selection_preservation;joint,text,end_to_end,open-domain QA;multi-hop QA,Single-hop QA;Multi-hop QA,https://arxiv.org/abs/2403.14403,https://github.com/starsuzi/Adaptive-RAG,reviewed,Selects no-retrieval single-step or iterative retrieval strategies from predicted query complexity; primary target follows the earliest active retrieval event.
zhang2024beamretrieval,End-to-End Beam Retrieval for Multi-Hop Question Answering,2024,NAACL,retrieval,observability,selection_preservation,text,retrieve,multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2024.naacl-long.96/,,reviewed,Maintains multiple partial evidence hypotheses to reduce early-hop search errors.
edge2024graphrag,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,2024,arXiv,graph_kg,exposure,observability,text,order,query-focused summarization;corpus-level QA,Private corpora;podcast transcripts,https://arxiv.org/abs/2404.16130,https://github.com/microsoft/graphrag,reviewed,Builds an entity graph and community summaries to expose local and global corpus evidence.
gutierrez2024hipporag,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,2024,NeurIPS,graph_kg,observability,selection_preservation,text,retrieve,multi-hop QA;long-term memory,MuSiQue;2WikiMultiHopQA;HotpotQA,https://arxiv.org/abs/2405.14831,https://github.com/OSU-NLP-Group/HippoRAG,reviewed,Uses a graph-based memory index and personalized PageRank for efficient multi-hop retrieval.
zhuang2024efficientrag,EfficientRAG: Efficient Retriever for Multi-Hop Question Answering,2024,EMNLP,decomposition,observability,selection_preservation,text,retrieve,multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2024.emnlp-main.199/,,reviewed,Decomposes a multi-hop question while pruning irrelevant subquestions and documents during retrieval.
sun2023rankgpt,Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents,2023,EMNLP,retrieval,selection_preservation,exposure,text,select,passage reranking;retrieval-augmented QA,TREC-DL;BEIR;NovelEval,https://aclanthology.org/2023.emnlp-main.923/,,reviewed,Introduces listwise LLM reranking; included as a foundational selector used in multi-hop RAG comparisons.
pradeep2023rankzephyr,RankZephyr: Effective and Robust Zero-Shot Listwise Reranking is a Breeze!,2023,arXiv,retrieval,selection_preservation,exposure,text,select,passage reranking,TREC-DL;BEIR;NovelEval,https://arxiv.org/abs/2312.02724,https://github.com/castorini/rank_llm,reviewed,Open listwise reranker with order and candidate-count robustness checks.
ma2024rankllama,Fine-Tuning LLaMA for Multi-Stage Text Retrieval,2024,SIGIR,retrieval,selection_preservation,observability,text,select,passage retrieval;document reranking,MS MARCO;BEIR,https://doi.org/10.1145/3626772.3657951,https://github.com/castorini/rank_llm,reviewed,Studies an LLM retriever and pointwise reranker; the audit codes the reranking intervention.
xu2023recomp,RECOMP: Improving Retrieval-Augmented LMs with Context Compression and Selective Augmentation,2024,ICLR,retrieval,selection_preservation,exposure,text,select,retrieval-augmented language modeling;open-domain QA,Natural Questions;TriviaQA;HotpotQA,https://openreview.net/forum?id=mlJLVigNHp,,reviewed,Compresses retrieved context and selectively suppresses augmentation when it is not useful.
pan2024longllmlingua2,LLMLingua-2: Data Distillation for Efficient and Faithful Task-Agnostic Prompt Compression,2024,Findings ACL,retrieval,selection_preservation,exposure,text,select,prompt compression;long-context QA,LongBench;TriviaQA-wiki;MeetingBank,https://aclanthology.org/2024.findings-acl.57/,https://github.com/microsoft/LLMLingua,reviewed,Token-level compression under an explicit budget; downstream answer preservation is not coded as causal faithfulness.
yu2024rankrag,RankRAG: Unifying Context Ranking with Retrieval-Augmented Generation in LLMs,2024,NeurIPS,retrieval,selection_preservation,fusion,text,select,knowledge-intensive QA;biomedical QA,Natural Questions;TriviaQA;HotpotQA;PopQA;FEVER,https://papers.nips.cc/paper_files/paper/2024/hash/db93ccb6cf392f352570dd5af0a223d3-Abstract-Conference.html,,reviewed,Jointly instruction-tunes context ranking and answer generation; primary target is candidate preservation.
lee2025setr,Shifting from Ranking to Set Selection for Retrieval Augmented Generation,2025,ACL,retrieval,selection_preservation,observability;fusion,text,select,multi-hop RAG;multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://aclanthology.org/2025.acl-long.861/,https://github.com/LGAI-Research/SetR,reviewed,Selects a complementary passage set against explicit information requirements rather than scoring passages independently.
xin2025rcps,Aligning Retrieval with Reader Needs: Reader-Centered Passage Selection for Open-Domain Question Answering,2025,COLING,retrieval,selection_preservation,exposure,text,select,open-domain QA,Natural Questions;TriviaQA;WebQuestions,https://aclanthology.org/2025.coling-main.67/,,reviewed,Reranks and clusters passages using reader predictions; answer-distribution clustering can couple selection and reader behavior.
yang2023prca,PRCA: Fitting Black-Box Large Language Models for Retrieval Question Answering via Pluggable Reward-Driven Contextual Adapter,2023,EMNLP,retrieval,exposure,selection_preservation,text,order,retrieval question answering,Natural Questions;TriviaQA;WebQuestions,https://aclanthology.org/2023.emnlp-main.326/,,reviewed,Refines retrieved information between retriever and generator with a reward-driven contextual adapter.
tang2024found,Found in the Middle: Calibrating Positional Attention Bias Improves Long Context Utilization,2024,Findings ACL,analysis,exposure,faithfulness,text,order,long-context QA;retrieval-augmented generation,multi-document QA;long-context retrieval,https://aclanthology.org/2024.findings-acl.890/,,reviewed,Calibrates position-biased attention so relevant middle context remains accessible.
jin2025longcontextrag,Long-Context LLMs Meet RAG: Overcoming Challenges for Long Inputs in RAG,2025,ICLR,analysis,exposure,selection_preservation,text,order,long-context RAG;open-domain QA,Natural Questions;PopQA;TriviaQA,https://openreview.net/forum?id=oU3tpaR8fm,,reviewed,Studies placement and retrieval ordering under long inputs; fixed-set ordering effects are coded separately from membership.
cheng2024xrag,xRAG: Extreme Context Compression for Retrieval-Augmented Generation with One Token,2024,NeurIPS,fusion_reader,exposure,fusion,text,order,retrieval-augmented generation;knowledge-intensive QA,Natural Questions;TriviaQA;HotpotQA;FEVER,https://papers.nips.cc/paper_files/paper/2024/hash/c5cf13bfd3762821ef7607e63ee90075-Abstract-Conference.html,https://github.com/Hannibal046/xRAG,reviewed,Maps a retrieved document embedding into one language-model token; primary target is context exposure under an extreme token budget.
liu2024lostmiddle,Lost in the Middle: How Language Models Use Long Contexts,2024,TACL,analysis,exposure,fusion,text,order,multi-document QA;key-value retrieval,Natural Questions;synthetic key-value retrieval,https://aclanthology.org/2024.tacl-1.9/,,reviewed,Controlled analysis that varies the location of relevant information while holding content fixed.
yu2022kgfid,KG-FiD: Infusing Knowledge Graph in Fusion-in-Decoder for Open-Domain Question Answering,2022,ACL,fusion_reader,fusion,selection_preservation,hybrid,read_fuse,open-domain QA,Natural Questions;TriviaQA,https://aclanthology.org/2022.acl-long.340/,,reviewed,Injects graph structure into passage filtering and Fusion-in-Decoder; fusion is coded primary for the reviewed mechanism.
mavromatis2022rearev,ReaRev: Adaptive Reasoning for Question Answering over Knowledge Graphs,2022,Findings EMNLP,graph_kg,fusion,observability,knowledge_graph,read_fuse,knowledge-graph QA,WebQuestionsSP;ComplexWebQuestions;MetaQA,https://aclanthology.org/2022.findings-emnlp.181/,https://github.com/cmavro/ReaRev_KGQA,reviewed,Uses reason-and-revise instruction execution over a question-specific graph.
he2021nsm,Improving Multi-hop Knowledge Base Question Answering by Learning Intermediate Supervision Signals,2021,WSDM,graph_kg,fusion,observability,knowledge_graph,read_fuse,knowledge-base QA,WebQuestionsSP;ComplexWebQuestions;MetaQA,https://doi.org/10.1145/3437963.3441753,https://github.com/RichardHGL/WSDM2021_NSM,reviewed,Teacher-student intermediate supervision stabilizes multi-hop graph reasoning.
zhang2022greaselm,GreaseLM: Graph Reasoning Enhanced Language Models for Question Answering,2022,ICLR,graph_kg,fusion,observability,hybrid,read_fuse,commonsense QA,CommonsenseQA;OpenBookQA,https://openreview.net/forum?id=41c9ZigR7mA,https://github.com/snap-stanford/GreaseLM,reviewed,Couples graph propagation with language-model representations for cross-evidence composition.
gao2023rarr,"RARR: Researching and Revising What Language Models Say, Using Language Models",2023,ACL,agentic,faithfulness,observability,text,verify,attribution;factual revision,Natural Questions;StrategyQA;QReCC,https://aclanthology.org/2023.acl-long.910/,,reviewed,Retrieves evidence and revises generated text while preserving as much original content as possible.
zhao2023verifyedit,Verify-and-Edit: A Knowledge-Enhanced Chain-of-Thought Framework,2023,ACL,llm_reasoning,faithfulness,observability;fusion,text,verify,knowledge-intensive reasoning,HotpotQA;2WikiMultiHopQA;StrategyQA,https://aclanthology.org/2023.acl-long.320/,,reviewed,Verifies factual claims in a reasoning chain with retrieved knowledge before editing.
gao2023alce,Enabling Large Language Models to Generate Text with Citations,2023,EMNLP,analysis,faithfulness,exposure,text,verify,citation-grounded generation,ASQA;QAMPARI;ELI5,https://aclanthology.org/2023.emnlp-main.398/,https://github.com/princeton-nlp/ALCE,reviewed,Defines automatic citation correctness and completeness evaluation; citation overlap is not treated as causal evidence use.
wu2024cofca,CofCA: A Step-Wise Counterfactual Multi-hop QA Benchmark,2025,ICLR,analysis,faithfulness,fusion,text,verify,multi-hop QA;counterfactual evaluation,HotpotQA;2WikiMultiHopQA;MuSiQue,https://arxiv.org/abs/2402.11924,,reviewed,Uses factual and counterfactual multi-step items to test whether answers and intermediate chains follow supplied evidence.
li2024selfchecker,Self-Checker: Plug-and-Play Modules for Fact-Checking with Large Language Models,2024,Findings NAACL,agentic,faithfulness,observability,text,verify,fact checking;generated-text verification,BingCheck;FEVER,https://aclanthology.org/2024.findings-naacl.12/,,reviewed,Decomposes generated text into claims and retrieves evidence for verification.
gou2024critic,CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing,2024,ICLR,agentic,faithfulness,observability;fusion,text,verify,tool-augmented reasoning;question answering,HotpotQA;TriviaQA;GSM8K,https://openreview.net/forum?id=Sx038qxjek,,reviewed,Uses external tools to critique and revise model outputs; tool feedback is distinguished from causal deletion tests.
xu2025veritas,Beyond Correctness: Rewarding Faithful Reasoning in Retrieval-Augmented Generation,2025,arXiv,agentic,faithfulness,observability;fusion,text,verify,agentic search;retrieval-augmented reasoning,HotpotQA;2WikiMultiHopQA;MuSiQue;Bamboogle,https://arxiv.org/abs/2510.13272,,reviewed,Introduces information-think think-answer and think-search faithfulness rewards for search agents.
jin2025searchr1,Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning,2025,arXiv,agentic,observability,fusion,text,retrieve,agentic search;open-domain QA,HotpotQA;2WikiMultiHopQA;MuSiQue;Bamboogle,https://arxiv.org/abs/2503.09516,https://github.com/PeterGriffinJin/Search-R1,reviewed,Trains multi-turn reasoning and search with reinforcement learning; primary target is evidence acquisition.
guan2025deeprag,DeepRAG: Thinking to Retrieve Step by Step for Large Language Models,2026,ICLR,agentic,observability,selection_preservation,text,end_to_end,agentic search;multi-hop QA,HotpotQA;2WikiMultiHopQA;MuSiQue,https://openreview.net/forum?id=VI2YaggHIF,,reviewed,Learns a retrieve-or-reason policy; included through one discretionary recency slot.
xiong2025raggym,RAG-Gym: Optimizing Reasoning and Search Agents with Process Supervision,2025,arXiv,agentic,observability,fusion;faithfulness,text,end_to_end,agentic search;multi-hop QA,HotpotQA;2WikiMultiHopQA;Bamboogle;MedQA,https://arxiv.org/abs/2502.13957,https://github.com/RAG-Gym/RAG-Gym,reviewed,Optimizes search trajectories with process supervision; included through one discretionary process-supervision slot.
